epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.6141,1.05644,3.67686,1.37123,0.57913,0.54905,0.58587,0.40475,0.98662,1.46891,1.25835,0.000332489,0.000332489,0.0670835
2,108.986,1.0464,1.90728,1.28016,0.77546,0.71044,0.81317,0.58722,0.99003,0.87905,1.21492,0.000652639,0.000652639,0.0340704
3,141.817,1.05195,1.49007,1.24411,0.8673,0.82217,0.91626,0.64337,0.9827,0.67255,1.19642,0.00095959,0.00095959,0.00104398
4,172.259,1.05199,1.32907,1.24664,0.88403,0.85035,0.93841,0.67146,0.97478,0.57042,1.18509,0.0009406,0.0009406,0.0009406
5,202.366,1.04585,1.19611,1.22878,0.89277,0.8563,0.94502,0.67852,0.94687,0.55662,1.17621,0.0009208,0.0009208,0.0009208
6,232.711,1.0343,1.11597,1.21911,0.85564,0.8837,0.92996,0.6378,1.02487,0.60394,1.21166,0.000901,0.000901,0.000901
7,262.876,1.01165,1.0566,1.20325,0.90117,0.90506,0.96542,0.6847,1.01575,0.48537,1.20014,0.0008812,0.0008812,0.0008812
8,293.037,1.01397,0.99628,1.19794,0.93379,0.90372,0.96931,0.70632,0.92102,0.43684,1.1365,0.0008614,0.0008614,0.0008614
9,326.582,0.99518,0.95263,1.18404,0.936,0.92565,0.97148,0.7022,0.95541,0.43744,1.16375,0.0008416,0.0008416,0.0008416
10,356.557,0.99356,0.92871,1.18756,0.95584,0.92247,0.98191,0.72718,0.91904,0.37092,1.12939,0.0008218,0.0008218,0.0008218
11,386.739,0.98324,0.87169,1.1788,0.94128,0.93275,0.9773,0.71906,0.94942,0.38085,1.14743,0.000802,0.000802,0.000802
12,416.349,0.97708,0.85775,1.17066,0.94956,0.93837,0.98385,0.73029,0.89357,0.35044,1.11466,0.0007822,0.0007822,0.0007822
13,447.052,0.9917,0.83491,1.17027,0.94175,0.94225,0.9798,0.72871,0.90972,0.37908,1.12331,0.0007624,0.0007624,0.0007624
14,479.357,0.9606,0.76971,1.15755,0.95133,0.95095,0.98667,0.73965,0.9074,0.35171,1.13377,0.0007426,0.0007426,0.0007426
15,513.367,0.9589,0.77337,1.14632,0.95289,0.9557,0.98595,0.72767,0.92038,0.34344,1.14511,0.0007228,0.0007228,0.0007228
16,547.45,0.95552,0.7609,1.15271,0.97586,0.95939,0.98799,0.74416,0.89946,0.32205,1.11678,0.000703,0.000703,0.000703
17,579.629,0.95091,0.73405,1.14394,0.96044,0.96029,0.988,0.74746,0.87622,0.30815,1.10094,0.0006832,0.0006832,0.0006832
18,611.185,0.93656,0.7156,1.13741,0.94979,0.95786,0.9879,0.74447,0.87911,0.31652,1.1067,0.0006634,0.0006634,0.0006634
19,644.743,0.92555,0.68733,1.12874,0.96786,0.95807,0.98893,0.75516,0.87774,0.29323,1.09558,0.0006436,0.0006436,0.0006436
20,678.536,0.92674,0.68562,1.13733,0.96372,0.96683,0.98987,0.74865,0.88431,0.30533,1.09955,0.0006238,0.0006238,0.0006238
21,711.285,0.9207,0.66328,1.12988,0.96966,0.96076,0.98905,0.75529,0.85716,0.30582,1.08722,0.000604,0.000604,0.000604
22,742.904,0.91221,0.65359,1.1209,0.96753,0.96666,0.98894,0.7525,0.86668,0.29664,1.09462,0.0005842,0.0005842,0.0005842
23,773.832,0.89745,0.63472,1.112,0.96554,0.97522,0.9916,0.75627,0.86784,0.30075,1.10484,0.0005644,0.0005644,0.0005644
24,803.897,0.89939,0.63333,1.11254,0.96213,0.97073,0.98787,0.76277,0.85902,0.28507,1.09132,0.0005446,0.0005446,0.0005446
25,834.065,0.90065,0.62512,1.11245,0.96325,0.97627,0.99139,0.76065,0.86645,0.28338,1.08714,0.0005248,0.0005248,0.0005248
26,864.572,0.89422,0.60723,1.11284,0.97835,0.96123,0.99072,0.76235,0.84859,0.27082,1.08052,0.000505,0.000505,0.000505
27,898.114,0.89152,0.60521,1.11124,0.96904,0.9731,0.98799,0.75707,0.85956,0.2806,1.08796,0.0004852,0.0004852,0.0004852
28,931.984,0.87245,0.58922,1.10257,0.96264,0.96756,0.98943,0.76513,0.86218,0.27236,1.08872,0.0004654,0.0004654,0.0004654
29,962.618,0.88438,0.57419,1.10195,0.96426,0.98178,0.9912,0.76498,0.86688,0.27126,1.09198,0.0004456,0.0004456,0.0004456
30,995.809,0.86726,0.56319,1.09612,0.96551,0.9744,0.99171,0.76704,0.85251,0.26988,1.08704,0.0004258,0.0004258,0.0004258
31,1029.1,0.857,0.54216,1.08359,0.96702,0.9744,0.98907,0.7666,0.83694,0.27679,1.06842,0.000406,0.000406,0.000406
32,1062.7,0.85958,0.54912,1.09128,0.97608,0.9685,0.99129,0.77453,0.84834,0.27038,1.07346,0.0003862,0.0003862,0.0003862
33,1097.21,0.84415,0.52041,1.08217,0.96699,0.98101,0.98823,0.76195,0.85476,0.26797,1.08161,0.0003664,0.0003664,0.0003664
34,1131.64,0.84797,0.52266,1.08487,0.97306,0.96994,0.99048,0.77604,0.84822,0.26872,1.08734,0.0003466,0.0003466,0.0003466
35,1164.99,0.83352,0.52503,1.07612,0.9746,0.97159,0.99114,0.77416,0.85081,0.25821,1.07876,0.0003268,0.0003268,0.0003268
36,1196.42,0.82405,0.51958,1.07082,0.97104,0.98166,0.99096,0.77362,0.83795,0.26419,1.0769,0.000307,0.000307,0.000307
37,1227.45,0.8278,0.50627,1.07548,0.97915,0.96583,0.99237,0.77384,0.83634,0.26411,1.07648,0.0002872,0.0002872,0.0002872
38,1259.6,0.82524,0.505,1.07619,0.97645,0.97468,0.99294,0.77648,0.84167,0.26117,1.08196,0.0002674,0.0002674,0.0002674
39,1289.15,0.82141,0.49319,1.07213,0.98022,0.98013,0.9913,0.77591,0.84305,0.2565,1.08047,0.0002476,0.0002476,0.0002476
40,1320.78,0.81503,0.48211,1.06985,0.96708,0.97607,0.99174,0.77325,0.847,0.25824,1.07991,0.0002278,0.0002278,0.0002278
41,1352.4,0.67983,0.31772,0.99082,0.98127,0.96994,0.99015,0.77219,0.84399,0.26402,1.0868,0.000208,0.000208,0.000208
